0,Горячий онигири с беконом ,Горячий онигири с курицей чили ,Горячий онигири с сурими и хумусом Эдамаме ,Горячий онигири с сурими и чуккой,Онигири с креветкой в соусе том кха,Онигири с куриным филе в соусе спайси Жизньмарт,Онигири с лососем в соусе том ям Жизньмарт,Онигири с лососем и сливочным сыром Жизньмарт,Онигири с сурими Жизньмарт,Онигири с тунцом в соусе спайси Жизньмарт,Ролл Мистер Сурими,"Ролл Чукка с снежным крабом, шт (Жизньмарт)",Ролл сливочный с курицей и огурцами ЖМ,Ролл сливочный с курицей и омлетом,"Ролл сливочный с лососем, шт (Жизньмарт)","Ролл с лососем и огурцом, шт (Жизньмарт)","Трайфл ""Наполеон"" в банке","Трайфл ""Тирамису"" в банке",Трайфл Морковный с корицей в банке,Трайфл Чернослив с грецкими орехами в банке,Трайфл с соленой карамелью в банке,"Хлопковый чизкейк, 80 гр","Чизкейк ""Карамель-банан"" 100 гр","Чизкейк ""Медовый"" 100 гр",Чизкейк Карамельный Лайт 100 г,Чизкейк Карамель с орехами 100 г.,"Десерт ""Бабушкино варенье"", 100г","Десерт ""Витаминная бомба"", 100г","Печенье ""Имбирный домик"", 40г",Шоколад ананасовый,Шоколад белый с малиной,Шоколад молочный с ореховым нугатином,Шоколад с розовой солью,Безлактозный ремесленный шоколад со смородиной,Белый ремесленный шоколад с фисташкой и шпинатом
1,"ЖМ Мельникова, 38 БОЛЬШОЙ ФОРМАТ",10,11,6,0,0,35,2,6,24,5,2,4,3,3,2,2,3,1,1,2,2,0,2,0,0,3,0,3,0,0,0,0,0,5,0
2,"ЖМ Сакко и Ванцетти, 61 БОЛЬШОЙ ФОРМАТ",4,4,0,0,0,5,0,2,7,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,"ЖМ Хохрякова, 63 БОЛЬШОЙ ФОРМАТ",14,13,6,1,1,33,2,3,16,4,1,0,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0
4,"ЖМ 8 марта, 167 БОЛЬШОЙ ФОРМАТ",17,14,8,4,0,0,0,0,7,6,2,2,2,1,1,1,2,1,1,0,3,1,2,1,2,1,2,0,3,5,0,0,0,0,0
5,"Репина, 94",18,19,11,0,0,64,6,11,69,15,0,0,0,0,0,0,2,3,1,1,1,0,3,1,1,7,0,0,0,0,0,0,0,0,0
6,"ЖМ Блюхера, 45 БОЛЬШОЙ ФОРМАТ",16,18,5,1,0,0,2,0,19,2,2,2,2,1,2,2,2,1,1,0,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0
7,"ЖМ Белинского, 222 БОЛЬШОЙ ФОРМАТ",14,13,8,0,0,0,3,0,32,3,3,5,3,2,3,2,2,1,1,2,1,1,2,1,2,1,1,0,3,0,0,0,0,0,0
8,"ЖМ Белинского, 41 БОЛЬШОЙ ФОРМАТ",7,7,4,0,0,0,2,0,16,4,2,0,2,2,2,1,1,1,0,1,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0
9,"ЖМ Ткачей, 23 БОЛЬШОЙ ФОРМАТ",9,12,6,1,0,21,3,3,18,3,3,5,2,2,4,2,3,3,1,4,5,0,2,1,2,1,0,0,3,0,0,0,0,0,0
10,"ЖМ Театральный, 5 БОЛЬШОЙ ФОРМАТ",35,34,17,1,1,70,0,2,70,3,3,6,6,4,4,1,2,1,1,2,1,1,5,1,3,5,4,4,1,0,0,0,0,5,0
